Stoats,Food
15,317
15,312
15,299
15,295
15,301
15,291
15,289
15,276
15,275
15,272
15,269
15,257
15,253
15,236
15,228
15,223
15,220
15,217
15,207
15,199
15,196
15,190
15,186
15,180
15,180
15,180
15,180
15,170
15,169
15,169
15,163
15,161
15,168
15,166
15,155
15,152
15,152
15,152
15,152
15,152
15,152
15,149
15,145
15,143
15,133
15,133
15,130
15,130
15,124
15,124
15,124
15,121
15,117
15,111
15,111
15,102
15,97
15,103
15,103
15,113
15,113
15,113
15,108
15,108
15,108
15,102
15,102
15,102
15,102
15,102
15,102
15,102
15,102
15,98
15,98
15,96
15,92
15,92
15,92
15,87
15,81
15,81
15,81
15,78
15,79
15,79
15,93
15,90
15,90
15,85
15,85
15,85
15,80
15,74
15,74
15,69
15,57
15,57
15,57
15,57
15,57
15,57
15,57
15,57
15,57
15,51
15,50
15,38
15,38
15,38
15,38
15,42
15,58
15,58
15,48
15,48
15,43
15,43
15,43
15,43
15,43
15,43
15,43
15,37
15,37
15,37
15,37
15,37
15,37
15,37
15,37
15,35
15,34
15,34
15,34
15,33
15,33
15,33
15,35
15,36
15,45
15,45
15,45
15,45
15,41
15,40
15,40
15,37
15,34
15,34
19,34
19,33
19,28
19,28
23,28
27,28
27,28
27,26
27,26
35,26
35,22
35,17
35,14
35,14
35,14
35,22
35,22
35,15
35,15
35,15
35,15
35,10
35,10
35,10
35,10
35,10
35,10
35,8
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,7
35,10
35,10
35,10
35,5
35,5
35,5
35,5
35,4
35,4
35,4
35,4
35,4
35,4
35,4
35,4
35,4
35,4
35,4
35,4
35,4
35,4
35,4
35,3
35,3
35,3
35,2
35,7
35,7
35,7
35,7
35,7
35,7
35,4
35,4
35,4
35,4
35,4
35,0
