RunId,iteration,Step,height,width,radius,stoats,food_density,traps,Stoats,Food
0,0,122,50,50,10,15,0.1,0,15,0
1,0,2000,50,50,10,15,0.1,15,0,513
2,0,151,50,50,10,15,0.25,0,23,0
3,0,2000,50,50,10,15,0.25,15,0,1244
4,0,238,50,50,10,15,0.5,0,35,0
5,0,2000,50,50,10,15,0.5,15,0,2556
6,1,80,50,50,10,15,0.1,0,15,0
7,1,2000,50,50,10,15,0.1,15,0,481
8,1,222,50,50,10,15,0.25,0,34,0
9,1,2000,50,50,10,15,0.25,15,0,1075
10,1,240,50,50,10,15,0.5,0,39,0
11,1,2000,50,50,10,15,0.5,15,0,2383
12,2,127,50,50,10,15,0.1,0,14,0
13,2,2000,50,50,10,15,0.1,15,0,473
14,2,239,50,50,10,15,0.25,0,44,0
15,2,2000,50,50,10,15,0.25,15,0,1291
16,2,266,50,50,10,15,0.5,0,51,0
17,2,2000,50,50,10,15,0.5,15,0,2410
