RunId,iteration,Step,height,width,radius,stoats,food_density,traps,Stoats,Food
0,0,76,50,50,10,5,0.1,10,0,0
1,0,999,50,50,10,5,0.25,10,0,27
2,0,560,50,50,10,5,0.5,10,0,5
3,1,48,50,50,10,5,0.1,10,0,2
4,1,194,50,50,10,5,0.25,10,0,13
5,1,891,50,50,10,5,0.5,10,0,5
6,2,84,50,50,10,5,0.1,10,0,2
7,2,283,50,50,10,5,0.25,10,0,0
8,2,1242,50,50,10,5,0.5,10,0,8
0,0,31,50,50,10,15,0.1,30,0,2
1,0,132,50,50,10,15,0.25,30,0,3
2,0,333,50,50,10,15,0.5,30,0,14
3,1,75,50,50,10,15,0.1,30,0,4
4,1,82,50,50,10,15,0.25,30,0,13
5,1,101,50,50,10,15,0.5,30,0,5
6,2,63,50,50,10,15,0.1,30,0,2
7,2,185,50,50,10,15,0.25,30,0,4
8,2,182,50,50,10,15,0.5,30,0,4
0,0,51,50,50,10,25,0.1,50,0,0
1,0,120,50,50,10,25,0.25,50,0,15
2,0,121,50,50,10,25,0.5,50,0,8
3,1,74,50,50,10,25,0.1,50,0,0
4,1,35,50,50,10,25,0.25,50,0,7
5,1,95,50,50,10,25,0.5,50,0,10
6,2,137,50,50,10,25,0.1,50,0,0
7,2,47,50,50,10,25,0.25,50,0,3
8,2,168,50,50,10,25,0.5,50,0,1
