RunId,iteration,Step,height,width,radius,stoats,food_density,traps,Stoats,Food
0,0,220,50,50,10,5,0.1,5,0,0
1,0,999,50,50,10,5,0.25,5,0,3
2,0,999,50,50,10,5,0.5,5,0,15
3,1,762,50,50,10,5,0.1,5,0,2
4,1,1890,50,50,10,5,0.25,5,0,6
5,1,2000,50,50,10,5,0.5,5,9,7
6,2,999,50,50,10,5,0.1,5,0,0
7,2,999,50,50,10,5,0.25,5,0,5
8,2,999,50,50,10,5,0.5,5,0,7
9,0,396,50,50,10,15,0.1,15,0,0
10,0,999,50,50,10,15,0.25,15,0,6
11,0,437,50,50,10,15,0.5,15,0,10
12,1,227,50,50,10,15,0.1,15,0,0
13,1,999,50,50,10,15,0.25,15,0,16
14,1,999,50,50,10,15,0.5,15,0,13
15,2,448,50,50,10,15,0.1,15,0,0
16,2,539,50,50,10,15,0.25,15,0,10
17,2,796,50,50,10,15,0.5,15,0,11
18,0,92,50,50,10,25,0.1,25,0,0
19,0,100,50,50,10,25,0.25,25,0,9
20,0,309,50,50,10,25,0.5,25,0,7
21,1,321,50,50,10,25,0.1,25,0,4
22,1,127,50,50,10,25,0.25,25,0,6
23,1,603,50,50,10,25,0.5,25,0,8
24,2,91,50,50,10,25,0.1,25,0,4
25,2,127,50,50,10,25,0.25,25,0,8
26,2,517,50,50,10,25,0.5,25,0,1
