RunId,iteration,Step,height,width,radius,stoats,food_density,traps,Stoats,Food
0,0,2000,50,50,10,5,0.1,0,13,0
1,0,2000,50,50,10,5,0.25,0,28,0
2,0,2000,50,50,10,5,0.5,0,24,6
3,1,1363,50,50,10,5,0.1,0,0,6
4,1,2000,50,50,10,5,0.25,0,17,0
5,1,2000,50,50,10,5,0.5,0,34,0
6,2,1257,50,50,10,5,0.1,0,0,1
7,2,2000,50,50,10,5,0.25,0,15,0
8,2,2000,50,50,10,5,0.5,0,32,0
9,0,466,50,50,10,15,0.1,0,0,0
10,0,2000,50,50,10,15,0.25,0,9,0
11,0,2000,50,50,10,15,0.5,0,41,0
12,1,2000,50,50,10,15,0.1,0,19,0
13,1,2000,50,50,10,15,0.25,0,3,7
14,1,2000,50,50,10,15,0.5,0,30,0
15,2,441,50,50,10,15,0.1,0,0,0
16,2,2000,50,50,10,15,0.25,0,17,0
17,2,2000,50,50,10,15,0.5,0,40,0
18,0,1488,50,50,10,25,0.1,0,0,1
19,0,2000,50,50,10,25,0.25,0,18,5
20,0,2000,50,50,10,25,0.5,0,44,3
21,1,1242,50,50,10,25,0.1,0,0,4
22,1,1151,50,50,10,25,0.25,0,0,20
23,1,2000,50,50,10,25,0.5,0,20,0
24,2,1013,50,50,10,25,0.1,0,0,9
25,2,2000,50,50,10,25,0.25,0,15,2
26,2,2000,50,50,10,25,0.5,0,38,0
