Stoats,Food
14,199
14,194
12,191
12,5
12,1
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,2
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
7,6
7,6
7,6
7,6
7,6
7,6
6,6
6,6
6,7
6,2
6,9
6,5
6,5
6,5
6,5
6,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,0
5,0
5,0
5,15
5,14
5,6
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,8
5,10
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,13
4,1
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
8,6
8,6
8,6
8,6
8,6
12,6
12,6
12,6
12,6
12,6
11,6
11,6
11,6
11,6
11,6
11,2
11,5
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,6
10,6
10,9
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
9,0
9,0
9,0
9,0
9,0
9,0
9,16
9,6
9,6
8,6
8,6
8,6
8,6
8,6
8,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,0
6,1
6,7
6,7
6,7
6,7
10,7
10,7
10,7
10,7
14,7
14,7
14,7
14,7
14,7
14,7
14,7
14,7
14,7
13,7
13,7
13,7
13,7
13,7
10,7
9,7
9,7
9,3
8,13
8,18
8,18
8,12
8,12
8,12
8,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
6,12
6,12
6,12
6,12
6,12
6,12
6,12
6,12
6,12
6,12
6,12
6,3
6,0
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
5,4
5,4
5,4
5,4
5,4
5,14
5,15
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,7
4,11
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,1
4,9
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,5
4,13
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,21
4,8
4,13
4,13
4,13
4,13
4,13
4,13
4,13
4,13
4,13
4,13
4,13
4,13
4,13
4,8
4,8
4,8
4,8
4,8
4,8
4,8
4,8
4,8
4,7
4,7
4,7
4,0
4,0
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,11
4,0
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,12
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,2
4,11
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,7
3,11
3,14
3,14
3,14
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,14
3,3
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
2,6
2,6
2,6
2,6
2,6
2,5
2,4
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,5
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,14
2,2
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,0
2,4
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,3
2,7
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
