Stoats,Food
15,249
15,218
15,218
15,15
15,6
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,10
15,7
15,12
15,3
15,3
15,3
15,3
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,0
15,2
15,3
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,14
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,5
15,4
15,4
15,4
15,4
15,4
15,4
15,4
15,4
15,4
15,4
15,4
15,4
15,4
15,4
15,4
15,4
15,4
15,0
15,13
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,6
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,7
15,0
15,8
15,8
15,8
15,8
15,8
15,8
15,8
15,8
15,8
15,8
19,8
19,8
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
23,2
23,2
23,0
23,0
23,0
23,0
23,0
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,1
23,1
23,4
23,4
23,4
23,4
23,4
23,4
23,4
23,4
23,4
23,4
23,4
23,4
23,4
23,4
23,4
23,0
23,0
23,0
23,0
23,0
23,0
23,0
22,0
22,0
22,0
22,3
22,17
22,11
22,11
21,11
21,11
21,11
21,11
21,5
21,5
21,5
20,5
20,5
20,5
20,5
20,5
20,0
20,0
20,0
20,0
20,0
20,0
20,0
19,0
26,0
26,0
26,0
26,0
26,7
26,6
26,6
26,6
30,6
30,6
30,6
30,6
30,6
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,13
29,3
27,11
27,11
27,11
27,11
27,11
27,11
27,6
27,6
27,6
27,6
23,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,2
22,1
22,16
22,16
22,16
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
21,6
21,6
20,6
20,6
20,6
20,6
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,4
20,16
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,1
20,1
20,1
20,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
23,0
23,0
22,0
22,5
22,0
22,8
21,8
21,8
21,8
21,8
21,8
21,8
21,8
21,8
21,8
21,8
21,5
20,5
20,5
20,5
20,5
20,5
19,5
19,5
19,5
17,5
17,5
17,5
17,5
17,5
17,0
17,12
17,3
17,3
17,3
17,3
17,3
17,2
17,2
17,2
17,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,7
15,24
15,3
15,3
15,3
15,3
15,3
15,3
15,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
13,3
13,3
13,1
13,5
13,6
13,6
13,6
13,6
13,6
13,6
13,6
12,6
12,6
12,6
12,6
12,6
12,0
12,0
12,0
12,0
12,0
11,0
11,0
11,0
11,0
11,0
23,0
23,0
23,0
23,6
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
22,0
22,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,4
21,8
21,7
21,7
21,7
21,7
21,7
21,7
21,7
21,7
21,1
21,1
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,7
21,4
21,4
21,4
21,4
21,4
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
19,0
19,0
19,0
19,0
19,0
19,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
26,0
26,0
26,0
26,0
26,4
26,4
26,4
26,4
25,4
25,4
25,4
25,4
25,4
25,4
25,4
25,4
25,4
